item,group_column,group_A,group_B,n_X,n_Y,sigma,rep,rho_frobenius_change,alpha,beta,delta_alpha,delta_beta
ry9,grade,6,7,16103,14724,0.001,14,0.010106017268853877,48.85627907191572,2146.8588396860077,0.04510410667246845,1.2896087912658913
ry9,grade,6,7,16103,14724,0.001,15,0.007914703255656469,48.88868800598584,2143.3337604227877,0.012695172602349203,2.2354704719541587
ry9,grade,6,7,16103,14724,0.001,16,0.007175868873756419,48.880724136135754,2141.9364869165793,0.020659042452436438,3.63274397816258
ry9,grade,6,7,16103,14724,0.001,17,0.008124810128665672,48.886312558951836,2147.2112222588457,0.015070619636354365,1.6419913641038875
ry9,grade,6,7,16103,14724,0.001,18,0.00832252934714891,48.872995362074604,2146.3230231809857,0.028387816513586017,0.7537922862438791
ry9,grade,6,7,16103,14724,0.001,19,0.006692767169668255,48.86537434025004,2138.1329836363225,0.03600883833814805,7.436247258419371
ry9,grade,6,7,16103,14724,0.001,20,0.008437023465384897,48.86856772471638,2141.6694839947886,0.032815453871812394,3.899746899953243
ry9,grade,6,7,16103,14724,0.001,21,0.006925276759997058,48.88768884888288,2144.401772109949,0.013694329705309372,1.1674587847928706
ry9,grade,6,7,16103,14724,0.001,22,0.006734641128450941,48.8646494615675,2142.1579447390345,0.03673371702068806,3.41128615570733
ry9,grade,6,7,16103,14724,0.001,23,0.0070403922798308064,48.87902948732387,2143.8823908395493,0.022353691264321185,1.6868400551925333
ry9,grade,6,7,16103,14724,0.001,24,0.0055250521337865885,48.89156303157133,2139.362283473423,0.009820147016860403,6.206947421319001
ry9,grade,6,7,16103,14724,0.001,25,0.0071583312311007475,48.87682546430263,2139.5246858765568,0.024557714285563748,6.04454501818509
ry9,grade,6,7,16103,14724,0.001,26,0.007635268047539734,48.884671786258245,2141.016113777721,0.01671139232994534,4.5531171170209745
ry9,grade,6,7,16103,14724,0.001,27,0.007606349445548355,48.84740910371246,2141.0833868143536,0.05397407487573247,4.485844080388233
ry9,grade,6,7,16103,14724,0.001,28,0.0072121984505034336,48.86549188814451,2144.0931239750053,0.035891290443679225,1.4761069197365941
ry9,grade,6,7,16103,14724,0.001,29,0.006584664845794958,48.88706192677906,2142.3869237705544,0.01432125180912891,3.182307124187446
ry9,grade,6,7,16103,14724,0.001,30,0.006609478586815655,48.86731388050874,2132.917164431728,0.03406929807945147,12.652066463013853
ry9,grade,6,7,16103,14724,0.001,31,0.006723708341964783,48.88794843381649,2144.309428376435,0.01343474477170048,1.2598025183069694
ry9,grade,6,7,16103,14724,0.001,32,0.008290644735957977,48.89281687577897,2139.689177504431,0.008566302809221327,5.880053390310877
ry9,grade,6,7,16103,14724,0.001,33,0.008647723807678398,48.901334200298834,2144.87435474617,4.897828935668258e-05,0.6948761485718933
ry9,grade,6,7,16103,14724,0.001,34,0.007744881123910181,48.88114534942426,2143.5755533660467,0.02023782916393202,1.993677528695116
ry9,grade,6,7,16103,14724,0.001,35,0.00930374139460879,48.88832066881564,2145.590540987091,0.013062509772552744,0.021310092349267507
ry9,grade,6,7,16103,14724,0.001,36,0.007559839059939053,48.8529926286996,2136.7000540278823,0.048390549888587486,8.869176866859561
ry9,grade,6,7,16103,14724,0.001,37,0.00867693959616276,48.86846976813765,2141.403595326193,0.03291341045053997,4.165635568548623
ry9,grade,6,7,16103,14724,0.001,38,0.007464624979499301,48.87250068135206,2140.8141553861738,0.028882497236132565,4.755075508568098
ry9,grade,6,7,16103,14724,0.001,39,0.007515667118761774,48.858840636449294,2142.275219887781,0.04254254213889652,3.2940110069607726
ry9,grade,6,7,16103,14724,0.001,40,0.00790082644425838,48.83784854162921,2133.4798622950734,0.06353463695898398,12.089368599668433
ry9,grade,6,7,16103,14724,0.001,41,0.00791045727606396,48.89682329984869,2147.5406233595418,0.004559878739499368,1.9713924647999193
ry9,grade,6,7,16103,14724,0.001,42,0.005832175378255301,48.876766690355396,2139.3973824490577,0.02461648823279461,6.171848445684191
ry9,grade,6,7,16103,14724,0.001,43,0.006516352382255172,48.88242858060552,2138.722980702939,0.018954597982670407,6.8462501918029375
ry9,grade,6,7,16103,14724,0.001,44,0.006748821820284681,48.854613810077446,2134.560409330676,0.04676936851074487,11.008821564065784
ry9,grade,6,7,16103,14724,0.001,45,0.008414515553273471,48.86496782044835,2137.0319621982662,0.0364153581398412,8.537268696475621
ry9,grade,6,7,16103,14724,0.001,46,0.008886568430498872,48.86899873366275,2144.977283885034,0.0323844449254409,0.5919470097078374
ry9,grade,6,7,16103,14724,0.001,47,0.007172444697347974,48.89553027300956,2144.7492798250596,0.005852905578628054,0.8199510696822472
ry9,grade,6,7,16103,14724,0.001,48,0.008486941096882339,48.88430934691698,2145.1384327533237,0.017073831671211792,0.43079814141810857
ry9,grade,6,7,16103,14724,0.001,49,0.006962207115787482,48.86824936583553,2141.660569969231,0.03313381275265925,3.908660925510958
ry9,grade,6,7,16103,14724,0.001,50,0.007540593434197737,48.82838103829574,2130.7396351259003,0.07300214029245211,14.8295957688415
ry9,grade,6,7,16103,14724,0.001,51,0.008847459614944838,48.89402663952618,2147.003135474727,0.007356539062008949,1.4339045799852101
ry9,grade,6,7,16103,14724,0.001,52,0.008540033429755386,48.89770001122825,2144.2783685686313,0.003683167359938011,1.2908623261105276
ry9,grade,6,7,16103,14724,0.001,53,0.007636339957445794,48.868082839651706,2141.571290432002,0.033300338936484764,3.9979404627397344
ry9,grade,6,7,16103,14724,0.001,54,0.005936159793530045,48.86941015129339,2133.094330689692,0.03197302729480356,12.474900205049835
ry9,grade,6,7,16103,14724,0.001,55,0.008074836648625098,48.90089829352352,2143.624719788265,0.000484885064672369,1.9445111064769662
ry9,grade,6,7,16103,14724,0.001,56,0.007197354406640766,48.89586822320615,2146.141260628593,0.005514955382039943,0.5720297338511955
ry9,grade,6,7,16103,14724,0.001,57,0.0063873527445443825,48.895368644654674,2144.007465760659,0.006014533933516475,1.5617651340826342
ry9,grade,6,7,16103,14724,0.001,58,0.008533784269247984,48.92014186341343,2146.2571429608465,0.01875868482523657,0.6879120661046727
ry9,grade,6,7,16103,14724,0.001,59,0.007721345189077852,48.873078625166514,2143.363984540695,0.028304553421676815,2.2052463540467215
ry9,grade,6,7,16103,14724,0.001,60,0.008243184253987535,48.89930649911929,2146.0528167812604,0.002076679468899556,0.48358588651854006
ry9,grade,6,7,16103,14724,0.001,61,0.006912231613970203,48.89036796131092,2144.2585905744245,0.011015217277268619,1.3106403203173613
ry9,grade,6,7,16103,14724,0.001,62,0.007288276538120019,48.86430661354198,2141.8062585744437,0.03707656504621326,3.762972320298104
ry9,grade,6,7,16103,14724,0.001,63,0.007361583202715628,48.88217879132978,2143.3971335732385,0.019204387258412225,2.1720973215033155
ry9,grade,6,7,16103,14724,0.001,64,0.007541129572092309,48.91008662060763,2146.5263743890264,0.008703442019438512,0.9571434942845372
ry9,grade,6,7,16103,14724,0.001,65,0.007130514468093057,48.86989013852912,2142.4229977177342,0.03149304005906828,3.146233177007616
ry9,grade,6,7,16103,14724,0.001,66,0.007403688342404257,48.85155266699239,2139.701016444625,0.04983051159580043,5.868214450116739
ry9,grade,6,7,16103,14724,0.001,67,0.00879668552240476,48.88337386159018,2148.184104579506,0.018009316998011116,2.6148736847640066
ry9,grade,6,7,16103,14724,0.001,68,0.006783854699479306,48.89266504308195,2143.315235963425,0.008718135506242675,2.253994931316811
ry9,grade,6,7,16103,14724,0.001,69,0.0065007441772306634,48.88611174796546,2141.363482211182,0.015271430622732396,4.205748683559705
ry9,grade,6,7,16103,14724,0.001,70,0.007572687265502611,48.89459478768277,2147.488810585986,0.006788390905420272,1.9195796912440528
ry9,grade,6,7,16103,14724,0.001,71,0.007217987755182317,48.85001474870646,2133.5205325366815,0.051368429881733846,12.048698358060392
ry9,grade,6,7,16103,14724,0.001,72,0.007341375858244415,48.896093523337214,2139.2911105506087,0.005289655250976466,6.278120344133185
ry9,grade,6,7,16103,14724,0.001,73,0.007844284746580563,48.91625298723817,2145.702244869864,0.014869808649976335,0.13301397512213953
ry9,grade,6,7,16103,14724,0.001,74,0.009108282730285706,48.84199210490914,2141.3336759382228,0.05939107367905194,4.235554956519081
ry9,grade,6,7,16103,14724,0.001,75,0.006607649814762572,48.87348024713928,2142.516316422794,0.027902931448913648,3.0529144719480428
ry9,grade,6,7,16103,14724,0.001,76,0.0072893338672700226,48.86490414867218,2143.8053680874627,0.036479029916009154,1.7638628072791107
ry9,grade,6,7,16103,14724,0.001,77,0.007720043636946047,48.848158471539676,2141.9718644555123,0.05322470704851412,3.5973664392295177
ry9,grade,6,7,16103,14724,0.001,78,0.0075287658995963225,48.92544131432228,2149.136233934414,0.024058135734087216,3.5670030396722723
ry9,grade,6,7,16103,14724,0.001,79,0.009687529199706611,48.82941448020126,2138.2261630597327,0.07196869838693232,7.343067835009151
ry9,grade,6,7,16103,14724,0.001,80,0.00840348002259431,48.886508472109284,2137.7087317324235,0.014874706478906319,7.86049916231832
ry9,grade,6,7,16103,14724,0.001,81,0.006793367770953527,48.8678379482049,2142.058219078105,0.03354523038328949,3.51101181663671
ry9,grade,6,7,16103,14724,0.001,82,0.007781664285187504,48.89967873411843,2144.436174677337,0.0017044444697589256,1.1330562174048282
ry9,grade,6,7,16103,14724,0.001,83,0.00666404664607142,48.896230662547424,2141.737871284616,0.005152516040766386,3.8313596101256735
ry9,grade,6,7,16103,14724,0.001,84,0.009477460012919721,48.85875247552845,2143.2092426282748,0.042630703059742814,2.3599882664670986
ry9,grade,6,7,16103,14724,0.001,85,0.006414460465461834,48.87648751410604,2141.173641323128,0.024895664482151858,4.395589571613982
ry9,grade,6,7,16103,14724,0.001,86,0.008060299494094592,48.873328414442256,2145.2625327028886,0.028054764145934996,0.3066981918532292
ry9,grade,6,7,16103,14724,0.001,87,0.009435968271985118,48.859893669670555,2145.259607788252,0.041489508917635476,0.30962310648965286
ry9,grade,6,7,16103,14724,0.001,88,0.007810155627285605,48.81728745575549,2131.2170926198482,0.08409572283269995,14.352138274893605
ry9,grade,6,7,16103,14724,0.001,89,0.007480360045872869,48.897719602543994,2145.629957693855,0.003663576044196759,0.06072679911312662
ry9,grade,6,7,16103,14724,0.001,90,0.008641732155706976,48.87298066858779,2141.6722696277757,0.028402510000397285,3.896961266966173
ry9,grade,6,7,16103,14724,0.001,91,0.008594642803789026,48.90338149279412,2148.6937361344517,0.001998314205927443,3.1245052397098334
ry9,grade,6,7,16103,14724,0.001,92,0.006505822931335086,48.853516696395765,2137.2230566211647,0.04786648219242551,8.346174273577162
ry9,grade,6,7,16103,14724,0.001,93,0.008028217586445594,48.887958229474364,2145.275625177927,0.013424949113826301,0.2936057168149091
ry9,grade,6,7,16103,14724,0.001,94,0.006838849427107431,48.88903085401137,2140.148667665613,0.012352324576824003,5.420563229128675
ry9,grade,6,7,16103,14724,0.001,95,0.008359432365137342,48.84872172186733,2142.939593355147,0.05266145672086253,2.6296375395950236
ry9,grade,6,7,16103,14724,0.001,96,0.007229729696255984,48.867127763009165,2137.3318355893016,0.03425541557902534,8.237395305440259
ry9,grade,6,7,16103,14724,0.001,97,0.008638215102680716,48.88031761633406,2144.146329565054,0.02106556225412959,1.4229013296876474
ry9,grade,6,7,16103,14724,0.001,98,0.007653781916483054,48.845753637532056,2137.2272350706453,0.05562954105613471,8.341995824096557
ry9,grade,6,7,16103,14724,0.001,99,0.006694377668723925,48.878941326403016,2140.4123278278194,0.022441852185174582,5.156903066922496
ry9,grade,6,7,16103,14724,0.005,0,0.0290731768323,49.09569474596978,2176.3962990621644,0.1943115673815896,30.827068167422567
ry9,grade,6,7,16103,14724,0.005,1,0.021591516360961065,48.86651063656322,2124.977831855882,0.0348725420249707,20.59139903885989
ry9,grade,6,7,16103,14724,0.005,2,0.020266819711865426,48.42104819699669,2107.319007943938,0.480334981591497,38.25022295080407
